Rainfall,Humidity3pm,Pressure9am,RainToday,RainTomorrow
0.0,30.0,1012.7,No,No
0.0,39.0,,No,Yes
3.4,90.0,1024.1,Yes,Yes
0.0,35.0,1017.8,No,Yes
0.0,37.0,1017.3,No,No
0.0,68.0,1015.6,No,No
1.8,67.0,1025.4,Yes,No
0.2,49.0,1020.9,No,No
0.0,21.0,1010.8,No,No
0.0,40.0,1023.4,No,Yes
0.0,12.0,1011.4,No,No
0.0,60.0,1019.2,No,
0.0,35.0,1021.8,No,No
9.8,91.0,992.1,Yes,Yes
3.4,67.0,,Yes,Yes
0.0,38.0,1024.5,No,No
0.0,47.0,1022.7,No,No
0.2,55.0,1030.1,No,No
0.0,15.0,1007.3,No,No
,79.0,1013.5,,No
0.0,29.0,1017.4,No,No
0.0,28.0,1006.4,No,No
10.4,84.0,1006.1,Yes,Yes
0.0,39.0,,No,No
0.0,76.0,1010.8,No,No
0.0,36.0,1010.7,No,No
0.2,64.0,1025.1,No,No
,31.0,1008.5,,
0.0,51.0,1018.4,No,No
2.4,96.0,1012.3,Yes,No
2.4,87.0,1029.0,Yes,Yes
0.2,37.0,1008.6,No,No
5.8,92.0,1012.5,Yes,Yes
0.0,48.0,1015.9,No,No
3.4,67.0,1005.8,Yes,Yes
0.0,52.0,1018.9,No,No
0.0,65.0,1016.7,No,No
0.0,36.0,1019.3,No,No
0.0,21.0,1019.7,No,No
0.0,28.0,1017.2,No,No
0.0,52.0,1012.6,No,No
0.0,32.0,1017.9,No,No
14.8,92.0,1019.7,Yes,Yes
0.0,29.0,1022.2,No,No
2.0,71.0,1022.0,Yes,No
2.8,72.0,1018.9,Yes,Yes
0.0,46.0,1020.2,No,No
0.0,57.0,1007.9,No,No
0.0,30.0,1019.1,No,No
3.2,54.0,1015.6,Yes,Yes
0.0,34.0,1013.5,No,No
0.0,40.0,1021.7,No,No
0.0,48.0,1011.8,No,No
8.4,58.0,1017.5,Yes,No
0.0,41.0,1028.5,No,No
0.0,3.0,1018.5,No,No
,,,,
0.0,83.0,999.4,No,No
0.0,15.0,1013.9,No,No
1.2,70.0,1008.7,Yes,Yes
0.0,55.0,1034.9,No,No
2.4,47.0,1016.4,Yes,Yes
0.0,58.0,1015.7,No,Yes
2.0,85.0,,Yes,Yes
0.0,63.0,1028.0,No,No
2.8,61.0,1014.8,Yes,Yes
10.6,52.0,1012.0,Yes,No
0.0,51.0,1013.3,No,No
0.0,59.0,1009.4,No,No
0.0,35.0,1024.6,No,No
153.2,83.0,1009.5,Yes,Yes
0.0,63.0,1013.5,No,Yes
0.0,14.0,1022.4,No,No
0.0,67.0,1026.0,No,No
2.0,60.0,1024.1,Yes,No
0.0,19.0,1017.6,No,No
0.0,55.0,1035.4,No,No
0.0,61.0,1020.3,No,No
0.0,53.0,1009.5,No,No
5.2,41.0,1013.7,Yes,No
0.0,68.0,1017.3,No,No
,,1021.6,,Yes
0.0,8.0,1020.6,No,No
1.0,68.0,1013.2,No,No
36.2,75.0,1021.6,Yes,No
0.0,30.0,1018.4,No,No
0.0,76.0,1008.3,No,Yes
0.0,42.0,1015.0,No,Yes
0.0,67.0,1032.1,No,No
0.0,11.0,1015.9,No,No
15.4,73.0,1006.1,Yes,Yes
0.0,52.0,1016.4,No,No
0.0,33.0,1019.6,No,No
0.2,37.0,1006.2,No,No
3.8,78.0,1027.9,Yes,Yes
0.0,29.0,1025.8,No,No
0.0,55.0,1020.4,No,No
2.0,38.0,1014.1,Yes,No
0.0,79.0,1012.4,No,Yes
0.0,45.0,1022.6,No,No
1.0,,,No,No
4.6,63.0,1019.3,Yes,Yes
2.4,64.0,1011.5,Yes,Yes
0.0,38.0,1021.0,No,No
0.0,11.0,1015.1,No,No
0.0,57.0,1022.7,No,No
0.8,66.0,1025.0,No,No
29.4,45.0,1010.1,Yes,No
0.0,43.0,1023.5,No,
8.6,65.0,1018.1,Yes,Yes
4.6,64.0,1017.8,Yes,No
0.4,90.0,1012.0,No,Yes
0.2,33.0,1013.5,No,No
0.0,16.0,1014.9,No,No
0.0,11.0,1018.2,No,No
4.2,67.0,998.5,Yes,Yes
1.4,68.0,1030.4,Yes,No
0.0,80.0,1016.4,No,No
0.6,64.0,,No,Yes
0.0,61.0,1023.9,No,No
5.4,95.0,1012.6,Yes,Yes
0.0,54.0,1020.9,No,Yes
2.2,26.0,1014.8,Yes,No
0.0,55.0,1016.5,No,No
0.0,29.0,1016.9,No,No
0.0,,1015.0,No,No
0.0,38.0,1023.3,No,No
0.2,71.0,1014.8,No,No
0.0,46.0,,No,No
0.0,65.0,1036.6,No,No
0.0,28.0,1009.4,No,No
11.0,89.0,,Yes,Yes
1.6,,,Yes,Yes
4.4,52.0,1024.5,Yes,No
0.0,37.0,1015.7,No,No
0.0,51.0,1018.5,No,No
0.0,45.0,1019.4,No,No
3.0,15.0,1009.6,Yes,No
0.2,41.0,1020.4,No,No
0.4,66.0,1010.6,No,No
0.0,51.0,1032.1,No,No
3.6,72.0,1021.8,Yes,No
0.0,27.0,1022.1,No,No
9.6,69.0,1013.8,Yes,Yes
0.0,81.0,1024.0,No,No
0.0,36.0,1011.8,No,No
0.0,42.0,1030.0,No,No
0.0,34.0,1020.2,No,No
0.0,70.0,1014.3,No,No
0.0,44.0,1019.4,No,No
0.0,47.0,1012.8,No,No
2.0,41.0,1027.1,Yes,No
0.0,34.0,1028.7,No,No
0.0,24.0,1024.9,No,No
0.0,67.0,1019.6,No,No
0.0,72.0,1016.0,No,Yes
0.2,,1025.0,No,No
0.0,39.0,1016.7,No,No
0.0,34.0,1018.6,No,No
0.0,48.0,1013.0,No,No
0.0,22.0,1021.1,No,No
0.0,52.0,1018.4,No,No
0.0,48.0,1009.1,No,No
0.0,30.0,1006.4,No,No
8.2,59.0,1026.9,Yes,No
0.6,33.0,1020.9,No,No
12.0,53.0,1013.0,Yes,No
0.0,46.0,1018.9,No,No
0.4,55.0,1012.9,No,Yes
0.0,23.0,1020.3,No,No
0.0,28.0,1016.4,No,No
0.0,62.0,1026.1,No,No
0.0,52.0,1015.3,No,Yes
0.0,56.0,1015.9,No,No
0.0,47.0,1024.2,No,No
5.2,75.0,1013.9,Yes,Yes
0.2,67.0,1018.7,No,No
1.8,52.0,1020.1,Yes,Yes
0.2,60.0,1016.3,No,No
0.0,58.0,1014.4,No,No
0.0,57.0,1029.2,No,No
0.0,42.0,1022.8,No,No
0.4,55.0,1024.8,No,No
0.0,40.0,1020.1,No,No
0.4,98.0,,No,Yes
0.0,33.0,1022.4,No,No
0.0,44.0,1016.4,No,Yes
0.0,6.0,1004.3,No,No
0.0,28.0,1009.6,No,No
1.0,42.0,1015.8,No,No
0.0,42.0,1024.7,No,No
0.2,46.0,1031.1,No,No
0.0,76.0,1017.0,No,Yes
13.4,58.0,1022.9,Yes,Yes
0.0,31.0,1021.1,No,No
37.4,49.0,1009.7,Yes,Yes
2.0,54.0,1022.0,Yes,Yes
0.4,56.0,1021.1,No,No
2.6,51.0,1013.2,Yes,No
0.0,58.0,1019.3,No,No
0.0,37.0,1013.1,No,Yes
0.0,78.0,1014.2,No,No
0.0,35.0,1027.7,No,No
0.0,48.0,1023.3,No,No
0.0,27.0,1025.3,No,No
0.0,65.0,1034.7,No,No
0.4,70.0,1015.5,No,Yes
0.0,43.0,1026.3,No,No
0.0,43.0,1024.3,No,No
0.6,72.0,1019.6,No,No
0.0,68.0,1010.6,No,No
7.0,57.0,,Yes,Yes
0.0,45.0,1027.6,No,No
0.0,55.0,1018.4,No,No
20.0,55.0,1015.1,Yes,Yes
0.0,38.0,1011.8,No,Yes
0.0,13.0,1018.4,No,No
0.4,50.0,1008.8,No,No
0.8,56.0,,No,No
45.8,91.0,1011.7,Yes,Yes
3.8,56.0,1008.9,Yes,Yes
0.0,53.0,1018.2,No,Yes
0.0,51.0,1017.5,No,No
7.0,41.0,1017.2,Yes,No
0.0,24.0,1015.9,No,Yes
0.0,32.0,1014.0,No,No
0.0,63.0,1027.3,No,No
0.0,61.0,1012.4,No,No
0.0,62.0,,No,No
0.4,59.0,1020.2,No,Yes
0.4,,1014.0,No,Yes
0.0,68.0,1012.5,No,Yes
0.0,42.0,1020.9,No,No
0.1,80.0,1008.2,No,No
0.0,80.0,1018.1,No,Yes
2.0,74.0,1008.9,Yes,Yes
0.0,31.0,,No,No
0.0,17.0,1021.8,No,No
,70.0,1030.7,,
0.2,61.0,1011.0,No,No
0.0,52.0,1022.2,No,No
0.0,53.0,1032.1,No,No
0.0,51.0,1017.9,No,No
0.2,53.0,1018.4,No,No
0.0,,1012.6,No,No
0.0,6.0,1012.1,No,No
0.0,72.0,1012.7,No,Yes
0.0,36.0,1015.1,No,No
1.4,66.0,1014.1,Yes,Yes
0.0,51.0,1009.0,No,No
0.0,47.0,1020.5,No,No
3.4,83.0,1016.4,Yes,Yes
30.6,70.0,1019.8,Yes,No
0.0,52.0,1033.6,No,No
0.0,79.0,1023.3,No,No
0.0,33.0,1027.9,No,No
0.0,40.0,1015.4,No,No
30.6,85.0,1008.5,Yes,Yes
0.0,47.0,1033.4,No,No
20.4,77.0,1013.6,Yes,Yes
0.0,29.0,1026.1,No,No
5.4,,1020.6,Yes,Yes
0.0,49.0,,No,No
0.0,79.0,1018.4,No,Yes
2.6,94.0,1011.5,Yes,Yes
9.2,77.0,1009.3,Yes,Yes
0.0,24.0,1019.2,No,No
0.0,35.0,1014.4,No,No
0.0,58.0,1018.3,No,No
0.6,52.0,1019.8,No,No
0.0,43.0,1013.1,No,No
0.0,64.0,1018.2,No,No
0.0,53.0,1033.1,No,No
6.0,63.0,,Yes,Yes
0.0,39.0,1021.1,No,No
4.2,78.0,1008.2,Yes,Yes
5.6,100.0,1011.9,Yes,Yes
0.0,58.0,1027.3,No,No
109.8,75.0,1002.0,Yes,Yes
0.0,32.0,,No,No
0.0,24.0,1020.5,No,No
0.0,51.0,1018.5,No,No
0.0,58.0,1023.9,No,No
0.0,43.0,1015.1,No,Yes
0.0,72.0,1011.2,No,Yes
0.0,39.0,1023.3,No,No
0.0,48.0,1011.6,No,Yes
0.2,73.0,1020.0,No,No
1.0,36.0,1024.8,No,No
0.0,60.0,1025.3,No,No
0.0,29.0,1020.9,No,No
4.8,67.0,1026.5,Yes,Yes
0.0,15.0,1023.3,No,No
0.0,47.0,1028.7,No,No
9.0,,,Yes,
19.4,63.0,1010.5,Yes,No
157.8,60.0,1016.9,Yes,No
18.4,95.0,1001.8,Yes,Yes
7.4,57.0,1016.6,Yes,No
0.0,84.0,1012.0,No,Yes
0.0,32.0,,No,No
0.0,8.0,1019.4,No,No
1.0,52.0,1033.1,No,No
0.0,34.0,1025.9,No,No
0.0,70.0,1014.6,No,No
11.4,,1012.1,Yes,Yes
0.0,43.0,1025.2,No,No
0.0,57.0,1018.5,No,No
0.0,62.0,1018.6,No,Yes
0.0,37.0,,No,No
0.0,45.0,1015.5,No,No
0.0,82.0,1012.0,No,No
43.6,60.0,996.2,Yes,Yes
0.0,49.0,1007.4,No,No
0.0,64.0,,No,No
0.4,75.0,1010.3,No,Yes
0.0,41.0,1022.9,No,No
7.6,66.0,987.2,Yes,Yes
3.2,59.0,1019.9,Yes,No
0.0,15.0,1016.5,No,No
0.0,86.0,1022.8,No,No
0.0,67.0,1012.9,No,No
0.4,59.0,1018.2,No,No
3.6,69.0,1021.1,Yes,No
0.0,15.0,1021.5,No,No
0.0,75.0,1023.6,No,No
0.0,23.0,1024.3,No,No
0.0,14.0,1022.8,No,No
0.0,62.0,,No,Yes
0.0,34.0,1022.5,No,Yes
23.8,72.0,1009.7,Yes,Yes
2.2,60.0,1013.7,Yes,No
0.0,71.0,1024.7,No,No
0.0,54.0,1004.8,No,No
0.2,81.0,1011.2,No,Yes
0.0,63.0,1008.9,No,No
0.0,55.0,1025.5,No,Yes
0.0,11.0,1009.8,No,Yes
0.0,31.0,1027.8,No,No
0.0,48.0,1035.9,No,No
0.0,12.0,1014.8,No,No
0.0,4.0,1017.7,No,No
11.6,58.0,1018.1,Yes,No
0.0,53.0,1026.2,No,No
7.4,88.0,,Yes,Yes
0.0,35.0,1012.2,No,No
0.0,45.0,,No,No
0.0,26.0,1016.0,No,No
0.2,52.0,1023.9,No,No
0.0,51.0,1022.7,No,No
0.0,41.0,1016.5,No,No
12.0,61.0,1017.7,Yes,No
12.4,67.0,1029.7,Yes,No
0.2,42.0,1033.3,No,No
0.2,46.0,1032.8,No,No
44.4,75.0,1016.5,Yes,Yes
69.5,78.0,1000.0,Yes,Yes
5.0,85.0,1019.7,Yes,Yes
0.6,45.0,1006.9,No,No
0.0,43.0,1018.3,No,No
3.4,59.0,1019.6,Yes,No
0.0,81.0,1022.2,No,Yes
0.0,11.0,1016.0,No,No
0.0,40.0,1016.5,No,No
0.0,47.0,1019.3,No,Yes
0.4,50.0,1020.0,No,Yes
3.0,56.0,1022.1,Yes,Yes
0.0,28.0,1017.6,No,No
0.0,33.0,1020.7,No,No
1.2,60.0,1012.4,Yes,No
0.0,36.0,1019.0,No,No
0.0,51.0,,No,No
0.2,78.0,1018.1,No,Yes
2.6,77.0,1017.4,Yes,Yes
0.2,27.0,1007.0,No,No
0.0,33.0,1018.3,No,No
0.0,60.0,1010.0,No,No
0.0,50.0,1030.0,No,No
0.0,50.0,1021.6,No,No
7.2,52.0,1024.1,Yes,No
0.0,28.0,1024.9,No,No
0.0,89.0,1021.1,No,Yes
0.0,20.0,1020.6,No,No
0.0,52.0,1029.0,No,No
53.0,76.0,1011.9,Yes,Yes
0.0,57.0,1016.0,No,No
0.0,52.0,1017.7,No,No
0.0,82.0,1023.8,No,No
0.0,36.0,1019.4,No,No
0.0,43.0,1017.2,No,No
0.8,48.0,1028.3,No,No
0.0,32.0,1011.2,No,No
0.0,46.0,1012.8,No,No
0.0,43.0,1024.0,No,No
0.0,66.0,1015.0,No,No
0.0,22.0,1019.4,No,No
1.0,63.0,1015.9,No,No
0.0,45.0,1011.3,No,No
0.0,66.0,1020.1,No,No
0.2,29.0,1017.8,No,Yes
0.0,48.0,1030.6,No,No
30.6,70.0,1006.7,Yes,No
0.0,48.0,1014.1,No,No
0.2,22.0,1014.6,No,No
0.0,35.0,1006.3,No,Yes
5.0,55.0,1017.8,Yes,No
26.4,21.0,1006.7,Yes,No
40.4,75.0,1019.6,Yes,Yes
61.0,93.0,1012.1,Yes,Yes
3.6,41.0,,Yes,No
0.0,82.0,1017.0,No,Yes
0.0,21.0,1027.9,No,No
0.0,47.0,1012.7,No,No
0.0,49.0,1022.1,No,No
0.8,73.0,1023.1,No,No
0.0,31.0,1020.7,No,No
0.0,59.0,1020.4,No,No
0.0,27.0,1015.8,No,No
0.0,24.0,1013.6,No,No
0.0,40.0,1032.1,No,No
3.2,69.0,1018.1,Yes,Yes
0.0,36.0,1014.3,No,No
0.0,15.0,1011.7,No,No
0.0,45.0,1022.8,No,No
1.4,71.0,1014.7,Yes,Yes
0.4,65.0,1014.5,No,Yes
0.0,69.0,1021.2,No,No
0.0,48.0,1027.0,No,No
1.0,91.0,1023.8,No,Yes
0.2,42.0,,No,No
0.4,32.0,1019.1,No,No
0.2,,1023.8,No,No
0.0,38.0,,No,No
1.6,46.0,1024.0,Yes,Yes
0.0,22.0,1016.8,No,No
1.8,79.0,,Yes,No
5.6,100.0,1000.3,Yes,Yes
0.0,38.0,1016.2,No,No
5.6,68.0,1011.0,Yes,Yes
42.0,87.0,1009.7,Yes,Yes
0.0,39.0,1017.7,No,No
0.0,61.0,1007.8,No,Yes
0.0,64.0,1023.8,No,Yes
0.0,22.0,1030.3,No,No
0.0,8.0,1010.4,No,No
0.2,43.0,,No,No
0.0,56.0,1018.2,No,No
1.0,50.0,1025.1,No,No
0.0,,1018.3,No,No
0.0,46.0,1009.5,No,Yes
18.4,56.0,1010.8,Yes,No
0.0,40.0,1026.7,No,No
0.0,25.0,1019.2,No,No
0.0,20.0,1021.1,No,No
3.2,38.0,1011.4,Yes,No
0.0,58.0,1020.0,No,No
0.0,49.0,,No,No
1.6,52.0,1002.8,Yes,No
0.0,24.0,1027.6,No,No
0.0,18.0,1022.0,No,No
4.2,67.0,1008.4,Yes,No
10.4,89.0,1011.7,Yes,Yes
0.0,39.0,1010.0,No,No
0.0,36.0,1018.0,No,No
18.0,50.0,1008.6,Yes,Yes
0.0,45.0,1013.4,No,No
1.4,59.0,1021.3,Yes,No
0.0,57.0,1016.4,No,No
6.8,55.0,1025.7,Yes,No
0.0,90.0,1013.6,No,No
0.0,12.0,1015.9,No,No
0.2,55.0,1014.1,No,No
78.2,97.0,,Yes,Yes
0.0,37.0,1016.7,No,No
0.0,39.0,1022.5,No,No
4.0,47.0,1011.0,Yes,No
1.2,84.0,1009.6,Yes,Yes
0.0,26.0,1023.5,No,No
0.6,68.0,1028.4,No,No
0.0,78.0,1019.0,No,No
0.0,64.0,1019.1,No,Yes
0.0,64.0,1022.7,No,No
0.0,41.0,1008.4,No,No
0.0,50.0,1023.4,No,No
14.4,56.0,1016.0,Yes,Yes
0.8,85.0,1013.1,No,No
0.0,26.0,1023.2,No,No
0.0,92.0,1016.6,No,Yes
0.0,61.0,1015.4,No,No
0.0,28.0,1021.8,No,No
0.0,61.0,1019.6,No,No
0.0,19.0,1014.5,No,No
0.0,9.0,1008.9,No,No
0.0,31.0,,No,No
0.0,83.0,1023.0,No,No
0.0,43.0,1025.8,No,No
0.0,66.0,,No,No
1.6,88.0,1005.5,Yes,Yes
0.2,89.0,1025.2,No,Yes
0.2,81.0,1018.1,No,Yes
0.0,80.0,1024.4,No,Yes
0.0,71.0,1024.0,No,No
0.0,52.0,1020.6,No,No
9.6,62.0,1021.8,Yes,No
0.0,56.0,1024.9,No,No
0.0,65.0,1021.2,No,No
0.0,38.0,1017.1,No,No
0.0,10.0,1009.4,No,No
0.0,58.0,1032.5,No,No
0.2,58.0,1009.6,No,No
0.2,59.0,1024.1,No,No
0.2,60.0,1022.0,No,No
0.0,69.0,1033.6,No,No
0.0,45.0,1029.8,No,No
0.2,69.0,1011.1,No,No
0.0,64.0,1019.2,No,Yes
0.0,35.0,1026.7,No,No
0.0,41.0,1015.3,No,No
0.0,,,No,Yes
0.0,24.0,1014.5,No,No
0.6,34.0,1006.8,No,No
15.0,100.0,1011.4,Yes,Yes
9.8,42.0,1009.2,Yes,Yes
0.0,97.0,1006.7,No,Yes
0.0,18.0,,No,No
0.2,64.0,1021.8,No,Yes
0.0,57.0,1015.6,No,Yes
,52.0,1029.5,,
0.0,75.0,1028.9,No,Yes
0.0,31.0,1020.8,No,No
0.0,12.0,1025.8,No,No
1.0,83.0,1012.7,No,No
17.6,78.0,1007.4,Yes,Yes
0.0,29.0,1017.1,No,No
0.8,62.0,1007.8,No,No
0.0,62.0,,No,Yes
0.0,45.0,1017.5,No,No
11.0,57.0,1024.7,Yes,No
1.0,58.0,1019.2,No,No
3.0,46.0,999.3,Yes,Yes
0.0,14.0,1020.3,No,
0.0,36.0,1028.3,No,No
0.0,47.0,1018.9,No,No
9.8,63.0,1020.5,Yes,No
0.0,18.0,1025.4,No,No
0.0,41.0,1029.1,No,No
0.0,49.0,1029.3,No,No
0.0,21.0,1012.6,No,No
0.0,8.0,1013.8,No,No
0.0,12.0,1016.2,No,No
,,,,
2.8,51.0,1010.0,Yes,No
0.4,65.0,1009.9,No,No
1.4,52.0,1010.9,Yes,No
0.0,23.0,1018.4,No,No
4.8,75.0,1023.0,Yes,Yes
26.4,64.0,1017.2,Yes,No
0.8,100.0,1012.2,No,Yes
0.0,35.0,1018.8,No,No
0.0,22.0,1020.6,No,No
0.0,71.0,1020.1,No,No
3.8,81.0,1008.1,Yes,Yes
0.0,44.0,1018.4,No,No
0.0,71.0,1017.2,No,No
0.0,66.0,1015.3,No,
3.4,83.0,1031.0,Yes,Yes
0.0,53.0,1014.6,No,No
0.0,8.0,1014.3,No,No
0.0,18.0,1023.2,No,No
1.8,79.0,1021.5,Yes,No
43.6,93.0,1019.0,Yes,Yes
0.0,50.0,1020.5,No,Yes
0.0,23.0,1027.7,No,No
0.0,53.0,1018.1,No,No
0.0,62.0,1019.7,No,Yes
0.0,52.0,,No,No
0.0,69.0,1015.1,No,No
2.8,85.0,1026.0,Yes,Yes
1.8,59.0,1011.0,Yes,No
0.0,26.0,1018.6,No,No
0.6,65.0,1011.5,No,Yes
10.4,90.0,1001.6,Yes,Yes
0.0,56.0,1016.3,No,No
0.4,61.0,1010.8,No,Yes
0.2,50.0,1017.5,No,No
0.0,37.0,1024.1,No,No
0.0,44.0,,No,Yes
0.0,58.0,1020.5,No,No
0.4,93.0,1017.3,No,Yes
0.0,28.0,1013.6,No,No
0.0,33.0,1019.5,No,No
1.0,61.0,1006.4,No,Yes
0.0,26.0,1007.5,No,No
0.0,68.0,1019.0,No,No
0.0,38.0,1014.5,No,No
0.0,69.0,,No,No
3.8,,,Yes,Yes
0.4,25.0,1014.9,No,No
0.0,20.0,1015.9,No,No
0.6,35.0,1005.9,No,No
0.0,57.0,1020.7,No,No
0.0,9.0,1023.2,No,No
0.0,71.0,1025.3,No,
0.0,44.0,1025.7,No,No
0.0,42.0,1021.5,No,No
0.0,31.0,1017.9,No,No
0.0,27.0,,No,No
16.2,57.0,1014.1,Yes,Yes
0.0,28.0,,No,No
,25.0,1007.8,,No
0.0,44.0,,No,No
0.0,49.0,1017.6,No,No
0.0,26.0,1008.2,No,No
9.2,69.0,1022.5,Yes,
,34.0,1021.3,,Yes
0.0,63.0,1022.8,No,No
15.0,72.0,1014.9,Yes,Yes
0.4,,,No,Yes
0.0,65.0,1025.2,No,No
,,,,
0.0,72.0,1025.4,No,No
1.0,65.0,1018.3,No,No
0.4,26.0,,No,No
0.0,66.0,1020.5,No,No
2.0,70.0,1030.6,Yes,No
1.4,47.0,1016.6,Yes,No
0.0,27.0,1019.7,No,No
0.0,38.0,1011.2,No,No
0.0,32.0,,No,No
2.0,41.0,1018.3,Yes,No
0.0,53.0,1016.4,No,No
9.0,55.0,1008.6,Yes,Yes
0.4,74.0,1032.1,No,No
37.8,82.0,1007.1,Yes,Yes
0.8,60.0,1011.2,No,No
0.0,68.0,1021.3,No,No
0.0,60.0,1017.0,No,No
0.0,16.0,1011.1,No,No
0.0,47.0,1039.9,No,No
0.0,28.0,1013.8,No,No
0.0,56.0,1016.6,No,No
12.2,60.0,1022.4,Yes,No
1.8,64.0,1009.0,Yes,Yes
6.0,52.0,1010.9,Yes,No
0.0,50.0,1009.4,No,No
0.0,56.0,1021.7,No,No
0.0,20.0,1018.6,No,No
11.6,62.0,1005.8,Yes,Yes
0.4,46.0,1023.7,No,No
1.8,72.0,1038.7,Yes,No
0.0,28.0,1023.5,No,No
1.0,74.0,1015.3,No,No
0.0,42.0,1019.8,No,No
9.0,89.0,1010.6,Yes,Yes
0.0,47.0,1030.3,No,Yes
0.0,43.0,1011.5,No,No
0.0,47.0,1016.3,No,No
0.4,69.0,1016.2,No,No
0.0,37.0,1022.4,No,No
0.0,42.0,1031.5,No,No
14.2,30.0,1012.5,Yes,No
